group,layer_index,op_name,family,fused,fused_nodes,wall_median_ms_median,wall_median_ms_p10,wall_median_ms_p90,wall_median_ms_cv,compute_wall_median_ms_median,compute_wall_median_ms_p10,compute_wall_median_ms_p90,compute_wall_median_ms_cv,barrier_wall_median_ms_median,barrier_wall_median_ms_p10,barrier_wall_median_ms_p90,barrier_wall_median_ms_cv,logical_read_bytes_median,logical_read_bytes_p10,logical_read_bytes_p90,logical_read_bytes_cv,logical_write_bytes_median,logical_write_bytes_p10,logical_write_bytes_p90,logical_write_bytes_cv,q1_logical_read_bytes_median,q1_logical_read_bytes_p10,q1_logical_read_bytes_p90,q1_logical_read_bytes_cv,q8_logical_read_bytes_median,q8_logical_read_bytes_p10,q8_logical_read_bytes_p90,q8_logical_read_bytes_cv,q1_wall_median_ms_median,q1_wall_median_ms_p10,q1_wall_median_ms_p90,q1_wall_median_ms_cv,f32_to_q8_wall_median_ms_median,f32_to_q8_wall_median_ms_p10,f32_to_q8_wall_median_ms_p90,f32_to_q8_wall_median_ms_cv
layer=60|op=SSM_CONV|family=SSM_CONV,60,SSM_CONV,SSM_CONV,False,1,0.042333,0.0396746,0.0432834,0.04194574793845817,0.040542,0.038375,0.0422002,0.043827788025860764,0.015291,0.0127078,0.01645,0.12189032735546089,327680.0,327680.0,327680.0,0.0,40960.0,40960.0,40960.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=60|op=UNARY|family=UNARY,60,UNARY,UNARY,False,1,0.004542,0.0044168,0.004658000000000001,0.026514211363739135,0.003625,0.0034088,0.0037998,0.0511498592144959,0.002875,0.0026582,0.00315,0.07958901566788074,192.0,192.0,192.0,0.0,192.0,192.0,192.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=61|op=ADD|family=ADD,61,ADD,ADD,False,1,0.010374999999999999,0.0099664,0.0179586,0.3476507887437806,0.009000000000000001,0.0087499,0.0160253,0.35705307631475935,0.008333,0.007850300000000001,0.0159169,0.4152790349925791,40960.0,40960.0,40960.0,0.0,20480.0,20480.0,20480.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=61|op=CONCAT|family=CONCAT,61,CONCAT,CONCAT,False,1,0.087834,0.0875914,0.0889418,0.0075674091911785086,0.086584,0.0864418,0.0876836,0.007852360601079108,0.08575,0.08535000000000001,0.086783,0.007639472806442856,163840.0,163840.0,163840.0,0.0,163840.0,163840.0,163840.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=61|op=GATED_DELTA_NET|family=GATED_DELTA_NET,61,GATED_DELTA_NET,GATED_DELTA_NET,False,1,1.13875,1.0864668,1.1646248,0.03344654253306319,1.12425,1.0820087999999999,1.1573164,0.03264310239425045,0.125875,0.0761914,0.2049746,0.42045435368294265,3187072.0,3187072.0,3187072.0,0.0,3170304.0,3170304.0,3170304.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=61|op=GET_ROWS|family=GET_ROWS,61,GET_ROWS,GET_ROWS,False,1,0.023417,0.0232748,0.0242414,0.020157645409954614,0.022333,0.022175,0.0230332,0.022290118019837903,0.022625,0.022291599999999998,0.0232664,0.019154409908290863,122884.0,122884.0,122884.0,0.0,122880.0,122880.0,122880.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=61|op=GLU|family=GLU,61,GLU,GLU,False,1,0.047375,0.047025,0.1280332,0.7236083738313808,0.045959,0.0458084,0.12556679999999998,0.7318828757117145,0.044875,0.044232799999999996,0.1257996,0.7501861639184791,139264.0,139264.0,139264.0,0.0,69632.0,69632.0,69632.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=61|op=L2_NORM|family=L2_NORM,61,L2_NORM,L2_NORM,False,1,0.005917,0.0056918,0.0062249,0.03969489062918224,0.0048335,0.004671,0.0050165999999999995,0.03414356612574093,0.0037920000000000002,0.0036041,0.0040209,0.04812668801988629,8192.0,8192.0,8192.0,0.0,8192.0,8192.0,8192.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
layer=61|op=MUL_MAT|family=MUL_MAT,61,MUL_MAT,MUL_MAT,False,1,2.270875,2.2662915999999997,2.3056498,0.008704553350466444,2.26625,2.2614832,2.2996336,0.008427057300618497,0.171167,0.16691720000000002,0.1758918,0.023773850021126648,12554240.0,12554240.0,12554240.0,0.0,24576.0,24576.0,24576.0,0.0,12533760.0,12533760.0,12533760.0,0.0,23674880.0,23674880.0,23674880.0,0.0,2.252292,2.2437838,2.2637502,0.004083923016940287,0.0,0.0,0.0,
layer=61|op=MUL|family=MUL,61,MUL,MUL,False,1,0.003083,0.0029164,0.0034,0.0705952281959456,0.001917,0.0018164,0.0021668,0.08399082819736113,0.001584,0.0014918,0.0019746,0.12987190921353298,384.0,384.0,384.0,0.0,192.0,192.0,192.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
